nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Cl 4 con Kr 80A;10.371642297269192, -75.48040680594477;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 4 con Kr 80A
Cl 5 entre Kr 79 y 77;10.374826005578747, -75.48163843724235;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 5 entre Kr 79 y 77
Clinica Blas De Lezo;10.391836602987468, -75.48666759902613;A107, A108, A111, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Clinica Blas De Lezo
Clinica El Bosque;10.388627199179242, -75.50194479525115;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Clinica El Bosque
Clinica El Bosque V;10.388428339262779, -75.50226464738876;A111, C001, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Clinica El Bosque V
Clinica ESE Rafael Calvo;10.379093716873824, -75.47594881756723;A105, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Clinica ESE Rafael Calvo
Cll 14 Entrada Golf;10.382550942793372, -75.49707457375662;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Cll 14 Entrada Golf
Cll 14 Parque Campestre;10.381306326631716, -75.49515142990006;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Cll 14 Parque Campestre
Coca Cola;10.401341173264184, -75.52162907571096;C001, X102, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Coca Cola
Colegio Bertha Gedeon;10.37814496483727, -75.49823865092492;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Bertha Gedeon
Colegio Bertha Suttner;10.359969347053537, -75.47970352251981;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Bertha Suttner
Colegio INEM ;10.3893632670491, -75.49747288220976;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Colegio INEM 
